epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.225,1.52712,1.89389,1.84672,0.31792,0.44638,0.29593,0.18319,1.34801,2.03482,1.88923,0.000990365,0.000990365,0.000990365
43,501.388,1.57148,1.93091,1.8855,0.32464,0.58769,0.29301,0.1763,1.48033,1.91602,1.95337,0.000973861,0.000973861,0.000973861
44,512.432,1.55502,1.86649,1.82416,0.35833,0.66846,0.30946,0.19349,1.33663,1.91022,1.90056,0.000957358,0.000957358,0.000957358
45,523.191,1.4851,1.81935,1.82844,0.36944,0.51154,0.33493,0.20074,1.35094,1.96844,1.90111,0.000940855,0.000940855,0.000940855
46,540.096,1.5046,1.81885,1.81953,0.34858,0.66846,0.32787,0.19854,1.36852,1.92553,1.88728,0.000924352,0.000924352,0.000924352
47,551.044,1.47141,1.84798,1.81573,0.34405,0.70696,0.32612,0.20489,1.34203,1.97807,1.84899,0.000907848,0.000907848,0.000907848
48,562.109,1.47979,1.81441,1.76761,0.36172,0.55077,0.34049,0.20875,1.43333,1.96625,1.97608,0.000891345,0.000891345,0.000891345
49,573.233,1.48097,1.83761,1.82969,0.38665,0.52846,0.37102,0.22966,1.36228,2.01147,1.92299,0.000874842,0.000874842,0.000874842
50,584.381,1.4649,1.85188,1.81933,0.37801,0.71926,0.34319,0.22141,1.38692,1.83828,1.92667,0.000858338,0.000858338,0.000858338
51,596.555,1.49465,1.8091,1.81778,0.37125,0.69763,0.38474,0.25725,1.32931,1.87932,1.86663,0.000841835,0.000841835,0.000841835
52,607.876,1.36294,1.74057,1.71745,0.33365,0.64769,0.32997,0.21648,1.34702,1.86357,1.89914,0.000825332,0.000825332,0.000825332
53,618.89,1.41642,1.80933,1.73541,0.3305,0.53907,0.29469,0.19188,1.32248,1.86907,1.85188,0.000808828,0.000808828,0.000808828
54,629.516,1.42408,1.75519,1.72043,0.35221,0.66769,0.33467,0.21599,1.32748,1.73673,1.8404,0.000792325,0.000792325,0.000792325
55,640.575,1.49329,1.76712,1.80199,0.38653,0.59,0.35578,0.22793,1.29343,1.69998,1.82585,0.000775822,0.000775822,0.000775822
56,652.109,1.51142,1.80327,1.80402,0.31475,0.66769,0.32907,0.19979,1.38727,1.77463,1.90439,0.000759318,0.000759318,0.000759318
57,662.818,1.32755,1.6775,1.65399,0.30399,0.70692,0.33989,0.21904,1.21968,1.7856,1.77093,0.000742815,0.000742815,0.000742815
58,673.521,1.374,1.71378,1.72539,0.32803,0.60615,0.32843,0.20394,1.28369,1.89016,1.78852,0.000726312,0.000726312,0.000726312
59,684.06,1.29466,1.68965,1.6462,0.27092,0.64769,0.28058,0.18944,1.25462,1.96181,1.80535,0.000709809,0.000709809,0.000709809
60,694.443,1.41911,1.69748,1.78457,0.33626,0.57077,0.34029,0.21434,1.29537,1.81782,1.81417,0.000693305,0.000693305,0.000693305
61,704.92,1.3321,1.68608,1.67856,0.35114,0.66251,0.36447,0.23401,1.22081,1.75767,1.74564,0.000676802,0.000676802,0.000676802
62,715.352,1.29858,1.59406,1.64527,0.34743,0.72915,0.36369,0.22537,1.31939,1.73789,1.84114,0.000660299,0.000660299,0.000660299
63,726.188,1.3684,1.61174,1.67402,0.32472,0.63,0.3407,0.22027,1.29076,1.83895,1.78339,0.000643795,0.000643795,0.000643795
64,736.727,1.33611,1.60129,1.64515,0.3479,0.72514,0.33675,0.21405,1.27018,1.8642,1.7746,0.000627292,0.000627292,0.000627292
65,747.374,1.32119,1.53434,1.62157,0.3396,0.66903,0.33841,0.22124,1.26716,1.82084,1.78964,0.000610789,0.000610789,0.000610789
66,758.194,1.35389,1.62021,1.67919,0.34616,0.68093,0.35776,0.22564,1.22804,1.71646,1.75768,0.000594286,0.000594286,0.000594286
67,768.887,1.28276,1.5677,1.6267,0.3924,0.56636,0.35407,0.22602,1.25511,1.73442,1.72828,0.000577782,0.000577782,0.000577782
68,779.506,1.23403,1.58172,1.56444,0.36779,0.53,0.32741,0.21823,1.1991,1.75641,1.69809,0.000561279,0.000561279,0.000561279
69,790.38,1.25023,1.5482,1.61702,0.38375,0.64769,0.41425,0.27346,1.18916,1.76803,1.71761,0.000544776,0.000544776,0.000544776
70,801.137,1.24612,1.58409,1.59223,0.37367,0.64184,0.36393,0.23757,1.24626,1.67027,1.77104,0.000528272,0.000528272,0.000528272
71,811.859,1.296,1.52483,1.57312,0.36636,0.58037,0.33072,0.21957,1.25907,1.8173,1.75659,0.000511769,0.000511769,0.000511769
72,822.817,1.24279,1.53948,1.57655,0.34655,0.70692,0.39453,0.25824,1.22309,1.72813,1.72515,0.000495266,0.000495266,0.000495266
73,833.555,1.30937,1.52382,1.57933,0.35621,0.70846,0.43523,0.28747,1.15594,1.61002,1.66267,0.000478762,0.000478762,0.000478762
74,845.588,1.1978,1.42498,1.54119,0.37724,0.7049,0.39154,0.25512,1.22078,1.70819,1.71191,0.000462259,0.000462259,0.000462259
75,857.18,1.27747,1.48287,1.61505,0.41835,0.49798,0.40226,0.25683,1.14105,1.72556,1.63898,0.000445756,0.000445756,0.000445756
76,867.924,1.23277,1.51533,1.5708,0.41066,0.58846,0.37679,0.24912,1.18933,1.62748,1.68051,0.000429253,0.000429253,0.000429253
77,878.626,1.25467,1.4738,1.57559,0.39305,0.64036,0.41273,0.2668,1.2801,1.5713,1.77273,0.000412749,0.000412749,0.000412749
78,890.465,1.2751,1.48395,1.62082,0.36865,0.64692,0.42751,0.27786,1.24669,1.57731,1.75727,0.000396246,0.000396246,0.000396246
79,901.204,1.27775,1.47105,1.58581,0.4148,0.66769,0.44372,0.29862,1.21243,1.55268,1.71285,0.000379743,0.000379743,0.000379743
80,912.02,1.26785,1.44598,1.58048,0.43287,0.63,0.39998,0.25998,1.18223,1.60467,1.68842,0.000363239,0.000363239,0.000363239
81,922.664,1.25706,1.45418,1.59859,0.38689,0.59077,0.44134,0.29414,1.19165,1.62392,1.67357,0.000346736,0.000346736,0.000346736
